album;song_title;section;lyric_bait;meaning_bait;source
Dark Lane Demo Tapes;Deep Pockets;Verse 1;"Dressed in fatigues, I rep the East with my trustees
Smokin' on?crushed?leaves
They turn they?back on everything we built, then?they must bleed
I've seen splatter hit the snow when the blood freeze
Straps over territory they know we must keep
Get home and white Air Forces get brushed clean
Back when my mama would interrupt sleep
To tell me hurry up 'cause the bus leaves
Summertime heatwaves, I used to just cut sleeves
My shorty really love me, man, she want me to cut keys
I can't do that normal type of life, is it just me?
Niggas steady try to ride the wave, but it's rough seas
I'm losin' enough sleep dealin' with envy
And the news that they sent for me got the block in a frenzy
It's on Meech like it's trendy
Runnin' round from Laurier to MacKenzie when the city's empty, yeah
Early twenties, but I want fifties, hundreds, not pennies
I need plenty
Got me ready to flip the F out like Fendi
Whatever's in me, it's takin' over
I gotta bust it down, break it open
Until somebody starts takin' notice, then we rollin'";lirik ini menggambarkan perjalanan Drake dari masa kecil yang penuh tantangan hingga menjadi sosok sukses yang tetap menghadapi tekanan dan pengkhianatan. Ia merenungkan masa lalu yang sulit, loyalitas terhadap lingkungan asalnya, serta perjuangan melawan rasa iri dan ekspektasi yang datang seiring ketenaran.;LyricsMeanings.com
Dark Lane Demo Tapes;Deep Pockets;Chorus;"Yeah, then we rollin', then we rollin'
Deep pockets on a nigga, I can't find my phone in
Now we rollin'
Yeah, then we rollin', then we rollin'
Deep pockets on a nigga, I can't find my phone in
Now we rollin'";Lirik ini mengekspresikan gaya hidup mewah dan kesuksesan Drake, dengan frasa 'deep pockets' yang menggambarkan kekayaan yang melimpah hingga sulit menemukan ponselnya di saku. Pengulangan 'now we rollin'' mencerminkan momentum dan perasaan euforia dalam menikmati hasil kerja kerasnya.;Pitchfork 
Dark Lane Demo Tapes;Deep Pockets;Verse 2;"Look
Back when Big Apple sold dreams, I stuck to my own thing
Back when the house that I own now was my home screen
Before I'd ever hit the road and feel like the home team
Runnin' missions
Pyramid schemes just like the Egyptians
Back when hotlines were still flippin'
Now I'm seein' money off of hotlines blingin' but it feels different
Transitions, plans switchin', ambition
Mindin' my business, buildin' a business, et cetera
Inspired by a few, but my mind really drives itself like Tesla
I always had a little somethin' extra
Back when Corey was our sole investor
And the car could get from A to B, but won't impress ya
Look, I ain't no baller
Still need my accounts longer like the way my nephew's gettin' taller
My soundtrack is the second Carter, dreamin' of acceptin' offers
And easin' tensions
Keepin' family out of East Detention
And out of Pine Hill Funeral Center
Spots we got no business enterin'
Back when Jill Scott was the apple of my afrocentric eye
I had to find a way to get someone's attention";Lirik ini menggambarkan perjalanan Drake dari masa-masa awal kariernya di Toronto, menekankan bagaimana ia memilih jalannya sendiri daripada mengikuti tren atau janji-janji kosong dari sosok seperti 'Big Apple'—seorang figur lokal yang dikenal di komunitas musik Toronto. Lirik ini mencerminkan transformasi Drake dari masa-masa sulit dan penuh tantangan menuju kesuksesan, sambil tetap mempertahankan integritas dan fokus pada visinya sendiri.;Drake Interview
Dark Lane Demo Tapes;Deep Pockets;Chorus;"Then we rollin', then we rollin'
Deep pockets on a nigga, I can't find my phone in
Now we rollin'
Yeah, then we rollin', then we rollin'
Deep pockets on a nigga, I can't find my phone in
Now we rollin'";Bait ini menyoroti gaya hidup mewah dan sukses finansial yang diraih Drake, dengan 'deep pockets' sebagai simbol kekayaan yang berlimpah, hingga ia bahkan kesulitan menemukan ponselnya. Frasa 'now we rollin’' mencerminkan momentum positif dan kesenangan dalam menikmati hasil dari kerja kerasnya.;Genius.com
Dark Lane Demo Tapes;When To Say When;Intro;"Yeah
Somebody, um
Somebody hit me today and they were like
""Nah, just make sure, you know
You tell?me?what to do?when I get there, you know?""
(June,?you're a genius)
I said, ""I respect it, no problem""
I got all these blessings just to give it to others anyway
Know what I'm sayin'?
Yeah, my hand's always open, for real";Bait ini mencerminkan sikap dermawan dan keterbukaan Drake terhadap orang-orang di sekitarnya. Ia menekankan bahwa berkat yang dimilikinya bukan hanya untuk dirinya sendiri, melainkan untuk dibagikan kepada orang lain, menunjukkan peran sebagai pemimpin yang siap membantu dan membimbing.;Genius.com
Dark Lane Demo Tapes;When To Say When;Verse;"Ayy
Thirty-three years, I gave that to the game
Thirty-three mil', I'll save that for the rain
Five hundred weeks, I'll fill the charts with my pain
Five hundred mil' and I'll fall back in the 6ix
Finally give you niggas the space you need to exist
Michael Jackson shit, but the palace is not for kids
Still women sayin' it's childish, the way we live
Brought a few Ws to the 6ix
Baby mama fluke, but I love her for who she is
Baby, Wayne and Tez responsible for this shit
Half the time, I question my consciousness in this shit
Other times, I question if compliments are legit
Full-time, I'm out here confident as a bitch
Tryna make good on the promises that I give
Tryna make sure my accomplices are legit
Register the business in my brother's name
Thirty-five hunnid in her pocket, that should cover things
Certified lover man, trappin' out the motherland
Always move right so my watch is on the other hand
She can try and play it down now, but she was a fan
People wanna know what's in my pockets, they don't understand
My assistant always findin' Percocet and rubber bands
Know my mom might not want to hear how I discover plans
Word to Sandra Graham, no one love you like your mother can
I watched Michael Rubin win a million off a couple hands
I decide what to see next like it's on demand
I decide what to be next like I'm switchin' plans
I'ma tell you what you feel next like the weatherman
I will split heads and break necks for my little man
6 God, prayin' hands like I'm a religious man
But I'm just a sicker man, wicked man
Look, we can argue back and forth, but who's the richer man?
Isn't that what matters in this world that we livin' in?
Bang those dividends, snakes stay slitherin'
How you plan to make it to the top by just fittin' in?
How you plan to take a nigga's spot by just givin' in?
How you gon' treat this shit like you gon' get to live again?
How you gettin' hype off one hit? Do that shit again
How you got a manager you mad at after you got the win?
Bet you got some niggas that'll love you 'til the bitter end
Bet you got somebody that's just smarter than your other friends
Give 'em a percentage, see what happens to your blessings then
You just need to stay close to your people that was there when others could've been
There when others should've been
Got a nigga starin' at the game like, ""Damn, coach, put him in""
But you never listen, so you niggas goin' wood again
Got us in the crib, talkin' 'bout what niggas coulda been, shoulda been
And I got your girl on the second floor, beggin' me to put it in
And it's not because all of the money that you wouldn't spend
And it's not because I set it up to try and get revenge
It's because you niggas insecure, you ain't made men
It's because even though you hate on me, we stay friends
It's because you niggas never learn when to say when
Yeah";Bait ini menampilkan refleksi mendalam Drake tentang perjalanan kariernya selama lebih dari tiga dekade, menyoroti pencapaiannya dalam industri musik, tantangan pribadi, dan dinamika hubungan dengan orang-orang di sekitarnya. Ia mengungkapkan perasaan ambivalen terhadap kesuksesan, loyalitas, dan pengkhianatan, serta mempertanyakan keaslian pujian yang diterimanya, sambil menegaskan posisinya sebagai figur dominan dalam dunia rap.;Pitchfork
Dark Lane Demo Tapes;When To Say When;Outro;"For real
Facts, you know what I'm sayin'?
Hahaha, yeah";Bait ini adalah bentuk penegasan dari Drake bahwa semua yang ia sampaikan sebelumnya adalah kenyataan ('for real', 'facts'), disampaikan dengan nada santai namun percaya diri, mencerminkan gaya khasnya dalam membungkus refleksi hidup dan dominasi dalam industri dengan sikap santai dan humor.;Genius.com
Dark Lane Demo Tapes;Chicago Freestyle (Ft. Giveon);Chorus: Giveon;"Two-thirty, baby, won't you meet me by The Bean?
Too early, maybe later you can show?me?things
You know what?it is whenever I visit
Windy city,?she blowin' me kisses, no
Thirty degrees, way too cold, so hold me tight
Will I see you at the show tonight?
Will I see you at the show tonight?";Bait ini menggambarkan kerinduan dan harapan akan pertemuan romantis di Chicago, dengan Giveon menyampaikan ajakan penuh kerinduan di tengah dinginnya kota dan kesibukan jadwal. Lokasi 'The Bean' dan cuaca dingin menjadi simbol kedekatan emosional dan kebutuhan akan kehangatan dari pasangan, sementara pertanyaan tentang kehadiran di pertunjukan mencerminkan ketidakpastian hubungan mereka.;genius.com
Dark Lane Demo Tapes;Chicago Freestyle (Ft. Giveon);Verse 1: Drake;"Ayy, truck to the plane to the truck
Truck to the hotel lobby
Me, I go through underground garages
Presidential suite on deposit
Elevator up to the room
Shower up and then we hit the club
Touch down, gotta see what's up
Area code in my phone
What numbers do I still have?
Who do I know from the past?
Hit one, she say she got a man
Hit another one, it goes green
Must've changed phones on the team
'Member when you let me in between
That was 2017
All good, Chubbs will look around
Find one that seem my type
That my dawg and he know what I like
He done found me plenty in my life
Problem is, I meet a girl tonight
Then I go and treat her too nice
Galleria credit card swipes
I don't even know if she a wife";Bait ini menggambarkan gaya hidup mewah dan mobilitas tinggi Drake sebagai selebritas, serta dilema emosionalnya dalam hubungan pribadi yang tidak stabil. Ia menyoroti siklus singkat romansa, kerinduan pada masa lalu, dan kesulitannya membedakan ketulusan dalam hubungan ketika semuanya terjadi begitu cepat dan mewah—seperti memberi perhatian dan hadiah tanpa tahu apakah perempuan itu benar-benar cocok untuk menjadi pasangan hidup.;genius.com
Dark Lane Demo Tapes;Chicago Freestyle (Ft. Giveon);Pre-Chorus: Drake;"But I do know one thing though
Women, they come they go
Saturday through Sunday, Monday
Monday through Sunday, yo
Maybe I'll love you one day
Maybe we'll someday grow
'Til then, I'll sit my drunk ass on that runway
On this one way";Bait ini mengungkapkan pandangan pesimistis Drake tentang hubungan romantis, di mana perempuan datang dan pergi dalam hidupnya tanpa ikatan yang langgeng. Ia menyiratkan harapan akan cinta sejati di masa depan, namun hingga saat itu tiba, ia merasa terjebak dalam siklus kesendirian dan pelarian, digambarkan dengan metafora dirinya yang mabuk di landasan pacu menuju arah yang tidak pasti.;genius.com
Dark Lane Demo Tapes;Chicago Freestyle (Ft. Giveon);Chorus: Giveon;"Two-thirty, baby, won't you meet me by The Bean?
Too early, maybe later you can show me things
You know what it is whenever I visit
Windy city, she blowin' me kisses, no
Thirty degrees, way too cold, so hold me tight
Will I see you at the show tonight?
Will I see you at the show tonight?";Bait ini mencerminkan kerinduan emosional dan harapan untuk bertemu dengan seseorang yang spesial di Chicago, dengan simbol lokal seperti 'The Bean' dan 'Windy City' memperkuat nuansa keintiman di tengah kesibukan hidup. Suhu dingin menjadi metafora kesepian, sementara ajakan ke pertunjukan malam itu menandakan keinginan untuk koneksi yang lebih dalam meski tidak pasti akan terwujud.;genius.com
Dark Lane Demo Tapes;Chicago Freestyle (Ft. Giveon);Verse 2: Drake;"Jewelry in the safe on arrival
Pistol on J for survival
Lot of people gunnin' for the title
Lot of people tryna take us viral
I'm just tryin' to have a nice night though
Waiter brought the check for the meal
She said, ""Babe, I think there was a typo""
Nah, girl, I got it, that's light though
I could show you bigger things than that
It's gon' be a minute 'til I'm back
Let me give you images that last
AMEX had a limit in the past
I had plenty women in the past
I done plenty sinnin' in the past
You don't need to know, but you can ask
Stickin' on your backstage pass
All access 'cause you bad
You could go wherever with that ass
Show to the shower to the truck
Truck to the club for the party
You go in first with your girls
'Cause I don't know who's out there watchin'";Bait ini menggambarkan kehidupan Drake yang penuh kemewahan dan kewaspadaan, di mana ia harus menjaga keamanan dan citra di tengah tekanan popularitas dan ancaman eksternal. Ia menunjukkan kemurahan hati kepada pasangannya, namun juga mengisyaratkan masa lalunya yang penuh godaan dan dosa, sekaligus kerinduannya untuk menciptakan momen yang bermakna meski hanya sebentar.;genius.com
Dark Lane Demo Tapes;Chicago Freestyle (Ft. Giveon);Pre-Chorus: Drake;"But I do know one thing though
Women, they come they go
Saturday through Sunday, Monday
Monday, Sunday, yo
Maybe I'll love you one day
Maybe we'll someday grow
'Til then, I'll sit my drunk ass on that runway
On this one way";"Bait ini menyiratkan rasa pasrah dan kelelahan emosional Drake terhadap hubungan cinta yang tidak stabil; ia mengakui bahwa perempuan datang dan pergi dari hidupnya, dan meskipun masih ada harapan akan cinta sejati di masa depan, untuk saat ini ia merasa tersesat dan melarikan diri dari kenyataan—digambarkan dengan dirinya yang mabuk di landasan pacu menuju arah yang tidak jelas.";genius.com
Dark Lane Demo Tapes;Chicago Freestyle (Ft. Giveon);Chorus: Giveon;"Two-thirty, baby, won't you meet me by The Bean?
Too early, maybe later you can show me things
You know what it is whenever I visit
Windy city, she blowin' me kisses, no
Thirty degrees, way too cold, so hold me tight
Will I see you at the show tonight?
Will I see you at the show tonight?";Bait ini mencerminkan kerinduan akan keintiman dalam hubungan jarak jauh, dengan Giveon mengajak pertemuan romantis di tempat ikonik Chicago sambil mengungkapkan harapan untuk koneksi emosional yang lebih dalam, meskipun ada jarak dan ketidakpastian. Suasana dingin kota dan pertanyaan tentang kehadiran di konser menambah nuansa rindu, kesendirian, dan harapan yang belum pasti.;genius.com
Dark Lane Demo Tapes;Not You Too (Ft. Chris Brown);Chorus: Drake;"First time in a long time
Hurtin' deeply inside
First time in a long time
Hurtin' deeply";Bait ini menggambarkan perasaan sakit hati yang mendalam dan mengejutkan setelah sekian lama tidak merasakannya, menandakan bahwa pengkhianatan atau kehilangan dalam hubungan tersebut sangat membekas secara emosional bagi Drake. Kalimat sederhana namun berulang ini menekankan intensitas luka yang ia rasakan, seolah tidak menyangka bahwa orang terdekatnya bisa menyakiti seperti itu.;genius.com
